"from","to","r","Treatment","Location"
"RIE","RUE",0.471262093057229,"HN_NF_RF","KIE"
"BBCH59","Straw",0.493809934043732,"HN_WF_RF","HAN"
"BBCH59","Grain",0.307610981725552,"HN_WF_RF","HAN"
"BBCH59","Seedyield",0.257203504479256,"HN_WF_RF","HAN"
"BBCH59","BBCH87",0.745351486084019,"HN_WF_RF","HAN"
"BBCH59","RIE",0.175618948830638,"HN_WF_RF","HAN"
"BBCH59","LAI",0.0620892073797662,"HN_WF_RF","HAN"
"BBCH59","k",0.103160337837203,"HN_WF_RF","HAN"
"BBCH59","Crude_protein",-0.346760680655014,"HN_WF_RF","HAN"
"BBCH59","TGW",-0.319209061823845,"HN_WF_RF","HAN"
"BBCH59","Harvest_Index_bio",-0.0899987878477711,"HN_WF_RF","HAN"
"Straw","Grain",0.38304636819188,"HN_WF_RF","HAN"
"Straw","Seedyield",0.366307217014534,"HN_WF_RF","HAN"
"Straw","BBCH87",0.716339274532858,"HN_WF_RF","HAN"
"Straw","RIE",0.277395454818287,"HN_WF_RF","HAN"
"Straw","LAI",0.512797843925256,"HN_WF_RF","HAN"
"Straw","k",-0.154335144510153,"HN_WF_RF","HAN"
"Straw","Crude_protein",-0.197403718466287,"HN_WF_RF","HAN"
"Straw","TGW",-0.221783088851606,"HN_WF_RF","HAN"
"Straw","Harvest_Index_bio",-0.288808507065495,"HN_WF_RF","HAN"
"Grain","Seedyield",0.905602924740448,"HN_WF_RF","HAN"
"Grain","BBCH87",0.60123541222505,"HN_WF_RF","HAN"
"Grain","RIE",-0.0919942263672311,"HN_WF_RF","HAN"
"Grain","LAI",0.138564993483223,"HN_WF_RF","HAN"
"Grain","k",-0.126073684035029,"HN_WF_RF","HAN"
"Grain","Crude_protein",-0.803918796112905,"HN_WF_RF","HAN"
"Grain","TGW",-0.615695772421872,"HN_WF_RF","HAN"
"Grain","Harvest_Index_bio",0.673390087082124,"HN_WF_RF","HAN"
"Seedyield","BBCH87",0.551848918076451,"HN_WF_RF","HAN"
"Seedyield","RIE",-0.0908149347976875,"HN_WF_RF","HAN"
"Seedyield","LAI",0.063995852062397,"HN_WF_RF","HAN"
"Seedyield","k",-0.0323631927645215,"HN_WF_RF","HAN"
"Seedyield","Crude_protein",-0.796520526048127,"HN_WF_RF","HAN"
"Seedyield","TGW",-0.232080182787647,"HN_WF_RF","HAN"
"Seedyield","Harvest_Index_bio",0.773232164127967,"HN_WF_RF","HAN"
"BBCH87","RIE",0.171650050188467,"HN_WF_RF","HAN"
"BBCH87","LAI",0.265707184955276,"HN_WF_RF","HAN"
"BBCH87","k",-0.00696483944257273,"HN_WF_RF","HAN"
"BBCH87","Crude_protein",-0.440104607648325,"HN_WF_RF","HAN"
"BBCH87","TGW",-0.401987715606902,"HN_WF_RF","HAN"
"BBCH87","Harvest_Index_bio",0.0670139311315357,"HN_WF_RF","HAN"
"RIE","LAI",0.602917980296742,"HN_WF_RF","HAN"
"RIE","k",0.5280589576985,"HN_WF_RF","HAN"
"RIE","Crude_protein",-0.145627866953381,"HN_WF_RF","HAN"
"RIE","TGW",0.0136028939576992,"HN_WF_RF","HAN"
"RIE","Harvest_Index_bio",-0.312196007230371,"HN_WF_RF","HAN"
"LAI","k",-0.141172250038841,"HN_WF_RF","HAN"
"LAI","Crude_protein",-0.153316431610545,"HN_WF_RF","HAN"
"LAI","TGW",-0.132376110820315,"HN_WF_RF","HAN"
"LAI","Harvest_Index_bio",-0.338515887219026,"HN_WF_RF","HAN"
"k","Crude_protein",-0.174701090028246,"HN_WF_RF","HAN"
"k","TGW",0.170881873904257,"HN_WF_RF","HAN"
"k","Harvest_Index_bio",0.0454642187978445,"HN_WF_RF","HAN"
"Crude_protein","TGW",0.375492379936732,"HN_WF_RF","HAN"
"Crude_protein","Harvest_Index_bio",-0.669745257317946,"HN_WF_RF","HAN"
"TGW","Harvest_Index_bio",-0.109126591059432,"HN_WF_RF","HAN"
"BBCH59","Straw",0.428467448417946,"HN_WF_RF","KIE"
"BBCH59","Grain",-0.216665946964849,"HN_WF_RF","KIE"
"BBCH59","Seedyield",-0.0859673946095026,"HN_WF_RF","KIE"
"BBCH59","BBCH87",0.775862218855887,"HN_WF_RF","KIE"
"BBCH59","RIE",0.567124326167315,"HN_WF_RF","KIE"
"BBCH59","Crude_protein",0.0493716410397513,"HN_WF_RF","KIE"
"BBCH59","TGW",0.175243715052616,"HN_WF_RF","KIE"
"BBCH59","Harvest_Index_bio",-0.335022835919724,"HN_WF_RF","KIE"
"BBCH59","RUE",-0.110242448093174,"HN_WF_RF","KIE"
"Straw","Grain",0.0262590024388088,"HN_WF_RF","KIE"
"Straw","Seedyield",-0.121351420442927,"HN_WF_RF","KIE"
"Straw","BBCH87",0.457208949201565,"HN_WF_RF","KIE"
"Straw","RIE",0.38058900844441,"HN_WF_RF","KIE"
"Straw","Crude_protein",0.27627971714481,"HN_WF_RF","KIE"
"Straw","TGW",-0.190854171211627,"HN_WF_RF","KIE"
"Straw","Harvest_Index_bio",-0.72074148174203,"HN_WF_RF","KIE"
"Straw","RUE",0.255346080895245,"HN_WF_RF","KIE"
"Grain","Seedyield",0.756578531100492,"HN_WF_RF","KIE"
"Grain","BBCH87",-0.246788585923077,"HN_WF_RF","KIE"
"Grain","RIE",0.502691938422571,"HN_WF_RF","KIE"
"Grain","Crude_protein",-0.581075632444284,"HN_WF_RF","KIE"
"Grain","TGW",-0.526092276082189,"HN_WF_RF","KIE"
"Grain","Harvest_Index_bio",0.522878352807666,"HN_WF_RF","KIE"
"Grain","RUE",0.754588137153401,"HN_WF_RF","KIE"
"Seedyield","BBCH87",-0.106087305471359,"HN_WF_RF","KIE"
"Seedyield","RIE",0.448969798237376,"HN_WF_RF","KIE"
"Seedyield","Crude_protein",-0.785256132538795,"HN_WF_RF","KIE"
"Seedyield","TGW",0.155132183541262,"HN_WF_RF","KIE"
"Seedyield","Harvest_Index_bio",0.774309129559598,"HN_WF_RF","KIE"
"Seedyield","RUE",0.577298755731187,"HN_WF_RF","KIE"
"BBCH87","RIE",0.508723129705659,"HN_WF_RF","KIE"
"BBCH87","Crude_protein",0.0156721600524832,"HN_WF_RF","KIE"
"BBCH87","TGW",0.198298205956283,"HN_WF_RF","KIE"
"BBCH87","Harvest_Index_bio",-0.365405938307037,"HN_WF_RF","KIE"
"BBCH87","RUE",0.00490776553334628,"HN_WF_RF","KIE"
"RIE","Crude_protein",-0.399788856056962,"HN_WF_RF","KIE"
"RIE","TGW",-0.207849625567747,"HN_WF_RF","KIE"
"RIE","Harvest_Index_bio",0.0809047848446314,"HN_WF_RF","KIE"
"RIE","RUE",0.536618644682211,"HN_WF_RF","KIE"
"Crude_protein","TGW",-0.139526741774199,"HN_WF_RF","KIE"
"Crude_protein","Harvest_Index_bio",-0.730958541527812,"HN_WF_RF","KIE"
"Crude_protein","RUE",-0.51565121351033,"HN_WF_RF","KIE"
"TGW","Harvest_Index_bio",0.211809057206279,"HN_WF_RF","KIE"
"TGW","RUE",-0.380563520839282,"HN_WF_RF","KIE"
"Harvest_Index_bio","RUE",0.254164682372639,"HN_WF_RF","KIE"
"RIE","RUE",0.402901146821696,"LN_NF_RF","KIE"
