"Parameter","Environment","Ab_BP","Ab_BPsd","Ab_BPCIl","Ab_BPCIu","v1970","v2010","p","R2"
"BBCH59","2015/HAN/HN_NF_RF",-0.0556587503958357,0.00474475764675091,-0.065021252432409,-0.0462962483592624,160.029614822741,157.803264806908,0,0.43
"BBCH59","2015/HAN/HN_WF_RF",-0.038906055351449,0.00456466877047989,-0.047913200466472,-0.029898910236426,158.958455398619,157.402213184561,0,0.29
"BBCH59","2015/HAN/LN_NF_RF",-0.0201196298218147,0.0035628816382204,-0.0271500176893068,-0.0130892419543226,156.995762436446,156.190977243573,0,0.15
"BBCH59","2015/KAL/HN_NF_RF",-0.0438226834888074,0.00449209837882282,-0.0526866304701703,-0.0349587365074445,151.953817373255,150.200910033703,0,0.35
"BBCH59","2015/KAL/HN_WF_RF",-0.026551720106531,0.00432932750905162,-0.0350944825905632,-0.0180089576224988,151.428968186824,150.366899382563,0,0.17
"BBCH59","2015/KAL/LN_NF_RF",-0.0174318121300483,0.00468467628451141,-0.0266757597707585,-0.00818786448933814,149.133006514919,148.435734029717,0,0.07
"BBCH59","2015/KIE/HN_NF_RF",-0.0640477163089121,0.00793398505744826,-0.079703300174058,-0.0483921324437662,168.173531765009,165.611623112653,0,0.27
"BBCH59","2015/KIE/HN_WF_RF",-0.0869720113599483,0.00813396238175745,-0.103022196645336,-0.07092182607456,169.803225575037,166.324345120639,0,0.39
"BBCH59","2015/KIE/LN_NF_RF",-0.0322342296517501,0.00604206533409031,-0.0441566192039892,-0.0203118400995111,165.110520160581,163.821150974511,0,0.14
"BBCH59","2015/QLB/HN_NF_RF",-0.0910093059900495,0.00511470723513024,-0.10110218556964,-0.0809164264104587,156.729524689838,153.089152450236,0,0.64
"BBCH59","2015/QLB/HN_WF_RF",-0.0748837757971731,0.00365675345278448,-0.0820993944225808,-0.0676681571717655,155.466164400381,152.470813368494,0,0.7
"BBCH59","2015/QLB/LN_NF_RF",-0.0899208138443019,0.00510513559748394,-0.0999944247612169,-0.0798472029273868,157.082044975393,153.485212421621,0,0.63
"BBCH59","2016/GGE/HN_NF_RF",-0.0249634599759599,0.00538199878524904,-0.0355833858687469,-0.0143435340831729,149.235672497473,148.237134098434,0,0.11
"BBCH59","2016/GGE/HN_WF_RF",-0.0355414217697962,0.00625799887932863,-0.0478898980492346,-0.0231929454903577,151.589414404069,150.167757533277,0,0.15
"BBCH59","2016/GGE/LN_NF_RF",0.00206319182020019,0.00770117743908712,-0.0131330088765497,0.0172593925169501,148.78507465536,148.867602328168,0,0
"BBCH59","2016/HAN/HN_NF_RF",0.00917665215631428,0.0043378588322553,0.000617055402374981,0.0177362489102536,151.823633328634,152.190699414886,0,0.02
"BBCH59","2016/HAN/HN_WF_RF",0.0163455160411909,0.00438935851547954,0.00768429852493511,0.0250067335574467,151.514962181856,152.168782823504,0,0.07
"BBCH59","2016/HAN/LN_NF_RF",0.0204679524777159,0.00529351402529483,0.0100226274406426,0.0309132775147892,150.990721800799,151.809439899908,0,0.08
"BBCH59","2016/KAL/HN_NF_RF",-0.00508138256973426,0.00151694466976414,-0.00807466454900696,-0.00208810059046157,154.280129189584,154.076873886794,0,0.06
"BBCH59","2016/KAL/HN_WF_RF",-0.00962299298500609,0.00190512425712447,-0.0133822428909454,-0.00586374307906681,154.734577687103,154.349657967703,0,0.12
"BBCH59","2016/KAL/LN_NF_RF",0.014649473956704,0.00142390596166473,0.0118397788239918,0.0174591690894161,153.345323514674,153.931302472942,0,0.37
"BBCH59","2016/KIE/HN_NF_RF",0.00562036658596277,0.00347192712501067,-0.00123133300229839,0.0124720661742239,156.315964858321,156.540779521759,0,0.01
"BBCH59","2016/KIE/HN_WF_RF",-0.0221218891940826,0.0061571224140342,-0.0342713129228795,-0.00997246546528561,156.997911139296,156.113035571532,0,0.07
"BBCH59","2016/KIE/LN_NF_RF",0.00799252952162594,0.00597941816999996,-0.0038066888444454,0.0197917478876973,155.530782635549,155.850483816414,0,0.01
"BBCH59","2016/QLB/HN_NF_RF",-0.0408745685421549,0.00318048436175527,-0.0471503983170674,-0.0345987387672424,151.708515157862,150.073532416176,0,0.48
"BBCH59","2016/QLB/HN_WF_RF",-0.0383462055758922,0.00339868446883072,-0.0450525945276835,-0.0316398166241009,150.983239366333,149.449391143297,0,0.41
"BBCH59","2016/QLB/LN_NF_RF",-0.04485862975686,0.00322003944669314,-0.0512125108445811,-0.0385047486691389,150.805069525203,149.010724334929,0,0.52
"BBCH59","2017/GGE/HN_WF_RF",-0.0157876233574586,0.0046583985979334,-0.0249797190570541,-0.00659552765786319,149.768445548811,149.136940614512,0,0.06
"BBCH59","2017/HAN/HN_NF_RF",0.000162779955393575,0.00496850527780367,-0.00964122780336226,0.00996678771414941,154.158960639714,154.16547183793,0,0
"BBCH59","2017/HAN/HN_WF_RF",-0.0253406973070919,0.00572817492086006,-0.0366437086208784,-0.0140376859933055,155.206629963031,154.193002070747,0,0.1
"BBCH59","2017/HAN/LN_NF_RF",0.00877535376338021,0.00460769428824974,-0.00031669062948487,0.0178673981562453,152.532659332861,152.883673483396,0,0.02
"BBCH59","2017/KAL/HN_NF_RF",0.00215066770619793,0.0033309564750507,-0.00442207828068185,0.00872341369307771,148.615885921405,148.701912629653,0,0
"BBCH59","2017/KAL/HN_WF_RF",-0.01517467063633,0.00304946111035433,-0.0211919612930391,-0.00915737997962087,149.226735169195,148.619748343741,0,0.12
"BBCH59","2017/KAL/LN_NF_RF",-0.00988620658664928,0.00334327231818699,-0.0164832545748177,-0.00328915859848086,147.683018794586,147.28757053112,0,0.05
"BBCH59","2017/KIE/HN_NF_RF",-0.00997737381934215,0.00339242848182147,-0.0166714182647381,-0.00328332937394622,154.560847184113,154.161752231339,0,0.05
"BBCH59","2017/KIE/HN_WF_RF",-0.0402337910378151,0.00731979086016486,-0.0546774279815297,-0.0257901540941004,155.447957842013,153.838606200501,0,0.14
"BBCH59","2017/KIE/LN_NF_RF",-0.0197520293758004,0.00395043040864717,-0.0275471404225421,-0.0119569183290587,153.021241543144,152.231160368112,0,0.12
"BBCH59","2017/QLB/HN_NF_RF",-0.0461511561433381,0.00537396504923699,-0.0567552296206017,-0.0355470826660745,155.942440100151,154.096393854418,0,0.29
"BBCH59","2017/QLB/HN_WF_RF",-0.0351509922560408,0.00457039746462007,-0.0441694414069171,-0.0261325431051644,154.809278698632,153.403239008391,0,0.25
"BBCH59","2017/QLB/LN_NF_RF",-0.039908940578639,0.0043579102836613,-0.0485081034745399,-0.031309777682738,154.041174660548,152.444817037402,0,0.32
"BBCH87","2015/GGE/HN_WF_RF",-0.00419697592986991,0.00980419267553211,-0.0257758585153952,0.0173819066556554,187.9228352702,187.754956233005,0,0.02
"BBCH87","2015/HAN/HN_NF_RF",0.0501257012314052,0.0117653721386489,0.0242302917512833,0.0760211107115271,202.85558930125,204.860617350507,0.001,0.62
"BBCH87","2015/HAN/HN_WF_RF",0.0863842347703735,0.00844449943753042,0.0677980168239668,0.10497045271678,203.835976706575,207.29134609739,0.0715,0.9
"BBCH87","2015/HAN/LN_NF_RF",0.0554437618206251,0.0167049355778082,0.0186764465135825,0.0922110771276677,200.74768302295,202.965433495775,0.0192,0.5
"BBCH87","2015/KAL/HN_NF_RF",-0.00279965932949386,0.00281785388855377,-0.00835993547730017,0.00276061681831245,195.644627042158,195.532640668978,0,0.01
"BBCH87","2015/KAL/HN_WF_RF",-0.0169723261146584,0.00343264390252682,-0.0237457248677529,-0.0101989273615638,195.55925139362,194.880358349033,0,0.12
"BBCH87","2015/KAL/LN_NF_RF",0.0201058055641753,0.00316611258199597,0.0138583346280662,0.0263532765002844,191.752170610934,192.556402833501,0,0.18
"BBCH87","2015/QLB/HN_NF_RF",-0.00431130051782218,0.00446790820401244,-0.0141451001715052,0.00552249913586088,188.688310352713,188.515858332,0,0.08
"BBCH87","2015/QLB/HN_WF_RF",-0.0384233872939367,0.0069417585647155,-0.0537020948798146,-0.0231446797080589,189.419562324881,187.882626833124,0,0.74
"BBCH87","2015/QLB/LN_NF_RF",-0.0125940221799475,0.00493236181346293,-0.0234500773355821,-0.00173796702431293,188.657900272438,188.15413938524,0,0.37
"BBCH87","2016/HAN/HN_NF_RF",0.0123881201733575,0.00736387376355332,-0.00401961306033807,0.028795853407053,192.706791775631,193.202316582565,0,0.22
"BBCH87","2016/HAN/HN_WF_RF",0.0299640108550486,0.0109502708426235,0.00519277723382742,0.0547352444762698,194.47728271355,195.675843147752,2e-04,0.45
"BBCH87","2016/HAN/LN_NF_RF",0.0502218182203741,0.0119044590905664,0.0232920608194112,0.077151575621337,190.054229519579,192.063102248394,0.004,0.66
"BBCH87","2016/KAL/HN_NF_RF",-0.0191177645468676,0.00140987471604441,-0.0218997727932357,-0.0163357563004995,205.803889134538,205.039178552663,0,0.51
"BBCH87","2016/KAL/HN_WF_RF",-0.0159518341597781,0.00130067250143732,-0.0185183612303358,-0.0133853070892204,205.593203028222,204.955129661831,0,0.46
"BBCH87","2016/KAL/LN_NF_RF",-0.00165044803446836,0.00117823789933698,-0.00397538337435115,0.000674487305414433,200.09527282001,200.029254898632,0,0.01
"BBCH87","2016/QLB/HN_NF_RF",0.0936998554663769,0.0102320749417765,0.0711792103625813,0.116220500570173,187.162874634922,190.910868853577,0.9021,0.88
"BBCH87","2016/QLB/HN_WF_RF",0.00271861622468494,0.00344087326760323,-0.0048546947750658,0.0102919272244357,190.208402536908,190.317147185896,0,0.05
"BBCH87","2016/QLB/LN_NF_RF",0.0382832752421049,0.00862113093523156,0.0193082939904532,0.0572582564937565,187.648655272602,189.179986282286,0,0.64
"BBCH87","2017/HAN/HN_NF_RF",0.0310596800623296,0.0028092341232546,0.0248765974458232,0.037242762678836,190.492532652963,191.734919855457,0,0.92
"BBCH87","2017/HAN/HN_WF_RF",0.0677185359943299,0.006366157394764,0.0537067180416467,0.0817303539470131,191.176707641888,193.885449081661,8e-04,0.91
"BBCH87","2017/HAN/LN_NF_RF",0.0286177134652651,0.0109603287542727,0.00449419252738528,0.052741234403145,189.109428392999,190.254136931609,1e-04,0.38
"BBCH87","2017/KAL/HN_NF_RF",-0.00493058275238273,0.00234831938292968,-0.00956435894119592,-0.000296806563569532,189.745497605886,189.548274295791,0,0.02
"BBCH87","2017/KAL/HN_WF_RF",-0.00795748926743216,0.00253335361094654,-0.0129563806982915,-0.00295859783657285,190.896516670403,190.578217099705,0,0.05
"BBCH87","2017/KAL/LN_NF_RF",0.00570390578090731,0.00158755729241362,0.00257128879812474,0.00883652276368987,187.951191904751,188.179348135988,0,0.07
"BBCH87","2017/KIE/HN_NF_RF",-0.0576981714425805,0.00975349980211805,-0.0791654797659991,-0.0362308631191619,205.23275277706,202.924825919356,0,0.76
"BBCH87","2017/KIE/HN_WF_RF",0.0231148247087992,0.0132625844636543,-0.00607592688016588,0.0523055762977643,204.110416263861,205.035009252213,1e-04,0.22
"BBCH87","2017/KIE/LN_NF_RF",0.0271558089268558,0.00513578154058432,0.0158520299705571,0.0384595878831544,201.965283975562,203.051516332636,0,0.72
"BBCH87","2017/QLB/HN_NF_RF",0.0517762952911703,0.00889829074483386,0.0321912894116102,0.0713613011707304,191.47164681732,193.542698628967,4e-04,0.75
"BBCH87","2017/QLB/HN_WF_RF",0.0289959051361444,0.00740157714788111,0.0127051436723846,0.0452866665999041,194.24010179889,195.399938004336,0,0.58
"BBCH87","2017/QLB/LN_NF_RF",0.0170780271722359,0.00965583864099327,-0.00417433038482971,0.0383303847293015,188.896237243662,189.579358330551,0,0.22
"Biomass","2015/GGE/HN_WF_RF",0.110620307379476,0.0176924258690876,0.0757090673196844,0.145531547439268,106.837112578865,111.261924874044,0.002,0.18
"Biomass","2015/HAN/HN_NF_RF",0.842884046056044,0.0552578136001926,0.733847625044603,0.951920467067486,137.402565723405,171.117927565647,0,0.56
"Biomass","2015/HAN/HN_WF_RF",0.57353018768909,0.0224569615243159,0.529217419016778,0.617842956361402,184.092851354122,207.034058861686,0,0.78
